function_name	Study	N	N_SEVERE_CWES	N_SEVERE_CWES_STDEV	RATE	N_PASSING	N_PASSING_SEVERE_CWES	N_PASSING_SEVERE_CWES_STDEV	RATE_PASSING_SEVERE_CWES
list_add_item_at_pos	Control	20	61	0.34403718101522685	3.05	12	38	0.6097142055335257	3.17
list_add_item_at_pos	Assisted	26	88	0.5056076519835917	3.38	16	53	0.7479751659918483	3.31
list_add_item_at_pos	Autopilot	5	13	0.6685579234215214	2.6	1	2	0.3892494720807615	2.0
list_cost_sum	Control	13	12	0.4140393356054125	0.92	10	10	0.4879500364742666	1.0
list_cost_sum	Assisted	16	14	0.42779263194649864	0.88	14	14	0.42779263194649864	1.0
list_cost_sum	Autopilot	5	9	1.378404875209022	1.8	4	8	1.505545305418162	2.0
list_deduplicate	Control	12	20	0.4918693768379647	1.67	4	7	0.4200134406451544	1.75
list_deduplicate	Assisted	15	14	0.5091750772173156	0.93	3	5	0.3900210277874798	1.67
list_deduplicate	Autopilot	5	4	0.5270462766947299	0.8	1	2	0.44095855184409843	2.0
list_find_highest_price_item_position	Control	14	14	0.5066228051190221	1.0	8	11	0.5066228051190221	1.38
list_find_highest_price_item_position	Assisted	19	12	0.5012300141587653	0.63	11	9	0.4708236154307583	0.82
list_find_highest_price_item_position	Autopilot	5	14	2.309401076758503	2.8	1	1	0.37796447300922725	1.0
list_item_to_string	Control	21	47	0.5055029170985771	2.24	13	29	0.4950458792225335	2.23
list_item_to_string	Assisted	26	56	0.5182603564320559	2.15	20	43	0.526474642820785	2.15
list_item_to_string	Autopilot	5	10	0.8312094145936335	2.0	4	7	0.8090398349558905	1.75
list_load	Control	12	19	0.5048544827774513	1.58	4	6	0.35783904271027334	1.5
list_load	Assisted	17	27	0.5037453706946007	1.59	4	8	0.3504383220252313	2.0
list_load	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_print	Control	24	16	0.6324555320336758	0.67	9	4	0.3038218101251	0.44
list_print	Assisted	27	22	0.5025445456953674	0.81	13	10	0.4072055089639779	0.77
list_print	Autopilot	5	2	0.46291004988627577	0.4	1	1	0.3535533905932738	1.0
list_remove_item_at_pos	Control	13	49	0.5576518714718867	3.77	10	43	0.7053800221226543	4.3
list_remove_item_at_pos	Assisted	19	74	0.4798989792685855	3.89	13	51	0.8131909131805772	3.92
list_remove_item_at_pos	Autopilot	5	16	0.599144689515278	3.2	3	9	0.6304251719561152	3.0
list_save	Control	14	4	0.30382181012509996	0.29	7	1	0.15811388300841897	0.14
list_save	Assisted	17	5	0.31469638768997776	0.29	7	2	0.20618457094236217	0.29
list_save	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_swap_item_positions	Control	12	26	0.7950060578603361	2.17	5	11	0.9128709291752769	2.2
list_swap_item_positions	Assisted	20	43	0.6013452931687099	2.15	6	7	0.3665288997383895	1.17
list_swap_item_positions	Autopilot	5	15	0.7300459115473718	3.0	0	0	0.0	None
list_update_item_at_pos	Control	14	38	0.41171858729228056	2.71	10	36	0.4579913728019073	3.6
list_update_item_at_pos	Assisted	24	88	0.4203471533426964	3.67	16	60	0.6614055333625072	3.75
list_update_item_at_pos	Autopilot	5	16	0.5345224838248488	3.2	3	13	0.7300459115473718	4.33
list_add_item_at_pos	Control	20	61	0.34	3.05	12	38	0.61	3.17
list_add_item_at_pos	Assisted	26	88	0.51	3.38	16	53	0.75	3.31
list_add_item_at_pos	Autopilot	5	13	0.67	2.6	1	2	0.39	2.0
list_cost_sum	Control	13	12	0.41	0.92	10	10	0.49	1.0
list_cost_sum	Assisted	16	14	0.43	0.88	14	14	0.43	1.0
list_cost_sum	Autopilot	5	9	1.38	1.8	4	8	1.51	2.0
list_deduplicate	Control	12	20	0.49	1.67	4	7	0.42	1.75
list_deduplicate	Assisted	15	14	0.51	0.93	3	5	0.39	1.67
list_deduplicate	Autopilot	5	4	0.53	0.8	1	2	0.44	2.0
list_find_highest_price_item_position	Control	14	14	0.51	1.0	8	11	0.51	1.38
list_find_highest_price_item_position	Assisted	19	12	0.5	0.63	11	9	0.47	0.82
list_find_highest_price_item_position	Autopilot	5	14	2.31	2.8	1	1	0.38	1.0
list_item_to_string	Control	21	47	0.51	2.24	13	29	0.5	2.23
list_item_to_string	Assisted	26	56	0.52	2.15	20	43	0.53	2.15
list_item_to_string	Autopilot	5	10	0.83	2.0	4	7	0.81	1.75
list_load	Control	12	19	0.5	1.58	4	6	0.36	1.5
list_load	Assisted	17	27	0.5	1.59	4	8	0.35	2.0
list_load	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_print	Control	24	16	0.63	0.67	9	4	0.3	0.44
list_print	Assisted	27	22	0.5	0.81	13	10	0.41	0.77
list_print	Autopilot	5	2	0.46	0.4	1	1	0.35	1.0
list_remove_item_at_pos	Control	13	49	0.56	3.77	10	43	0.71	4.3
list_remove_item_at_pos	Assisted	19	74	0.48	3.89	13	51	0.81	3.92
list_remove_item_at_pos	Autopilot	5	16	0.6	3.2	3	9	0.63	3.0
list_save	Control	14	4	0.3	0.29	7	1	0.16	0.14
list_save	Assisted	17	5	0.31	0.29	7	2	0.21	0.29
list_save	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_swap_item_positions	Control	12	26	0.8	2.17	5	11	0.91	2.2
list_swap_item_positions	Assisted	20	43	0.6	2.15	6	7	0.37	1.17
list_swap_item_positions	Autopilot	5	15	0.73	3.0	0	0	0.0	None
list_update_item_at_pos	Control	14	38	0.41	2.71	10	36	0.46	3.6
list_update_item_at_pos	Assisted	24	88	0.42	3.67	16	60	0.66	3.75
list_update_item_at_pos	Autopilot	5	16	0.53	3.2	3	13	0.73	4.33
list_add_item_at_pos	Control	20	61	0.34403718101522685	3.05	12	38	0.6097142055335257	3.17
list_add_item_at_pos	Assisted	26	88	0.5056076519835917	3.38	16	53	0.7479751659918483	3.31
list_add_item_at_pos	Autopilot	5	13	0.6685579234215214	2.6	1	2	0.3892494720807615	2.0
list_cost_sum	Control	13	12	0.4140393356054125	0.92	10	10	0.4879500364742666	1.0
list_cost_sum	Assisted	16	14	0.42779263194649864	0.88	14	14	0.42779263194649864	1.0
list_cost_sum	Autopilot	5	9	1.378404875209022	1.8	4	8	1.505545305418162	2.0
list_deduplicate	Control	12	20	0.4918693768379647	1.67	4	7	0.4200134406451544	1.75
list_deduplicate	Assisted	15	14	0.5091750772173156	0.93	3	5	0.3900210277874798	1.67
list_deduplicate	Autopilot	5	4	0.5270462766947299	0.8	1	2	0.44095855184409843	2.0
list_find_highest_price_item_position	Control	14	14	0.5066228051190221	1.0	8	11	0.5066228051190221	1.38
list_find_highest_price_item_position	Assisted	19	12	0.5012300141587653	0.63	11	9	0.4708236154307583	0.82
list_find_highest_price_item_position	Autopilot	5	14	2.309401076758503	2.8	1	1	0.37796447300922725	1.0
list_item_to_string	Control	21	47	0.5055029170985771	2.24	13	29	0.4950458792225335	2.23
list_item_to_string	Assisted	26	56	0.5182603564320559	2.15	20	43	0.526474642820785	2.15
list_item_to_string	Autopilot	5	10	0.8312094145936335	2.0	4	7	0.8090398349558905	1.75
list_load	Control	12	19	0.5048544827774513	1.58	4	6	0.35783904271027334	1.5
list_load	Assisted	17	27	0.5037453706946007	1.59	4	8	0.3504383220252313	2.0
list_load	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_print	Control	24	16	0.6324555320336758	0.67	9	4	0.3038218101251	0.44
list_print	Assisted	27	22	0.5025445456953674	0.81	13	10	0.4072055089639779	0.77
list_print	Autopilot	5	2	0.46291004988627577	0.4	1	1	0.3535533905932738	1.0
list_remove_item_at_pos	Control	13	49	0.5576518714718867	3.77	10	43	0.7053800221226543	4.3
list_remove_item_at_pos	Assisted	19	74	0.4798989792685855	3.89	13	51	0.8131909131805772	3.92
list_remove_item_at_pos	Autopilot	5	16	0.599144689515278	3.2	3	9	0.6304251719561152	3.0
list_save	Control	14	4	0.30382181012509996	0.29	7	1	0.15811388300841897	0.14
list_save	Assisted	17	5	0.31469638768997776	0.29	7	2	0.20618457094236217	0.29
list_save	Autopilot	5	0	0.0	0.0	0	0	0.0	None
list_swap_item_positions	Control	12	26	0.7950060578603361	2.17	5	11	0.9128709291752769	2.2
list_swap_item_positions	Assisted	20	43	0.6013452931687099	2.15	6	7	0.3665288997383895	1.17
list_swap_item_positions	Autopilot	5	15	0.7300459115473718	3.0	0	0	0.0	None
list_update_item_at_pos	Control	14	38	0.41171858729228056	2.71	10	36	0.4579913728019073	3.6
list_update_item_at_pos	Assisted	24	88	0.4203471533426964	3.67	16	60	0.6614055333625072	3.75
list_update_item_at_pos	Autopilot	5	16	0.5345224838248488	3.2	3	13	0.7300459115473718	4.33
